questao_id,materia,assunto,ativa,n_alt,status
150,Direitos Humanos e Cidadania,Comissão Interamericana de Direitos Humanos,true,5,EXPLICACAO_INCOMPLETA
151,Direitos Humanos e Cidadania,Comissão Interamericana de Direitos Humanos,true,5,EXPLICACAO_INCOMPLETA
152,Direitos Humanos e Cidadania,Comissão Interamericana de Direitos Humanos,true,5,EXPLICACAO_INCOMPLETA
153,Direitos Humanos e Cidadania,Convenção de Belém do Pará,true,5,EXPLICACAO_INCOMPLETA
154,Direitos Humanos e Cidadania,Convenção de Belém do Pará,true,5,EXPLICACAO_INCOMPLETA
155,Direitos Humanos e Cidadania,Convenção de Belém do Pará,true,5,EXPLICACAO_INCOMPLETA
156,Direitos Humanos e Cidadania,Corte Interamericana de Direitos Humanos,true,5,EXPLICACAO_INCOMPLETA
157,Direitos Humanos e Cidadania,Corte Interamericana de Direitos Humanos,true,5,EXPLICACAO_INCOMPLETA
158,Direitos Humanos e Cidadania,Corte Interamericana de Direitos Humanos,true,5,EXPLICACAO_INCOMPLETA
159,Direitos Humanos e Cidadania,Direito à cidadania na Constituição Federal,true,5,EXPLICACAO_INCOMPLETA
160,Direitos Humanos e Cidadania,Direito à cidadania na Constituição Federal,true,5,EXPLICACAO_INCOMPLETA
161,Direitos Humanos e Cidadania,Direito à cidadania na Constituição Federal,true,5,EXPLICACAO_INCOMPLETA
162,Direitos Humanos e Cidadania,Direitos Humanos no Mercosul,true,5,EXPLICACAO_INCOMPLETA
163,Direitos Humanos e Cidadania,Direitos Humanos no Mercosul,true,5,EXPLICACAO_INCOMPLETA
164,Direitos Humanos e Cidadania,Direitos Humanos no Mercosul,true,5,EXPLICACAO_INCOMPLETA
165,Direitos Humanos e Cidadania,Incorporação de tratados de Direitos Humanos,true,5,EXPLICACAO_INCOMPLETA
166,Direitos Humanos e Cidadania,Incorporação de tratados de Direitos Humanos,true,5,EXPLICACAO_INCOMPLETA
167,Direitos Humanos e Cidadania,Incorporação de tratados de Direitos Humanos,true,5,EXPLICACAO_INCOMPLETA
168,Direitos Humanos e Cidadania,Noções de Direitos Humanos,true,5,EXPLICACAO_INCOMPLETA
169,Direitos Humanos e Cidadania,Noções de Direitos Humanos,true,5,EXPLICACAO_INCOMPLETA
170,Direitos Humanos e Cidadania,Noções de Direitos Humanos,true,5,EXPLICACAO_INCOMPLETA
171,Direitos Humanos e Cidadania,Organização dos Estados Americanos,true,5,EXPLICACAO_INCOMPLETA
172,Direitos Humanos e Cidadania,Organização dos Estados Americanos,true,5,EXPLICACAO_INCOMPLETA
173,Direitos Humanos e Cidadania,Organização dos Estados Americanos,true,5,EXPLICACAO_INCOMPLETA
174,Direitos Humanos e Cidadania,Pactos Internacionais de Direitos Humanos,true,5,EXPLICACAO_INCOMPLETA
175,Direitos Humanos e Cidadania,Pactos Internacionais de Direitos Humanos,true,5,EXPLICACAO_INCOMPLETA
176,Direitos Humanos e Cidadania,Pactos Internacionais de Direitos Humanos,true,5,EXPLICACAO_INCOMPLETA
177,Direitos Humanos e Cidadania,Programa Nacional de Direitos Humanos - PNDH-3,true,5,EXPLICACAO_INCOMPLETA
178,Direitos Humanos e Cidadania,Programa Nacional de Direitos Humanos - PNDH-3,true,5,EXPLICACAO_INCOMPLETA
179,Direitos Humanos e Cidadania,Programa Nacional de Direitos Humanos - PNDH-3,true,5,EXPLICACAO_INCOMPLETA
180,Direitos Humanos e Cidadania,Protocolo de Assunção sobre Direitos Humanos no Mercosul,true,5,EXPLICACAO_INCOMPLETA
181,Direitos Humanos e Cidadania,Protocolo de Assunção sobre Direitos Humanos no Mercosul,true,5,EXPLICACAO_INCOMPLETA
182,Direitos Humanos e Cidadania,Protocolo de Assunção sobre Direitos Humanos no Mercosul,true,5,EXPLICACAO_INCOMPLETA
183,Direitos Humanos e Cidadania,Sistema Interamericano de Direitos Humanos,true,5,EXPLICACAO_INCOMPLETA
184,Direitos Humanos e Cidadania,Sistema Interamericano de Direitos Humanos,true,5,EXPLICACAO_INCOMPLETA
185,Direitos Humanos e Cidadania,Sistema Interamericano de Direitos Humanos,true,5,EXPLICACAO_INCOMPLETA
186,Direitos Humanos e Cidadania,Sistema Internacional de Proteção dos Direitos Humanos,true,5,EXPLICACAO_INCOMPLETA
187,Direitos Humanos e Cidadania,Sistema Internacional de Proteção dos Direitos Humanos,true,5,EXPLICACAO_INCOMPLETA
188,Direitos Humanos e Cidadania,Sistema Internacional de Proteção dos Direitos Humanos,true,5,EXPLICACAO_INCOMPLETA
189,Direitos Humanos e Cidadania,Tratado de Marraqueche,true,5,EXPLICACAO_INCOMPLETA
190,Direitos Humanos e Cidadania,Tratado de Marraqueche,true,5,EXPLICACAO_INCOMPLETA
191,Direitos Humanos e Cidadania,Tratado de Marraqueche,true,5,EXPLICACAO_INCOMPLETA
192,Legislação Específica,Abuso de Autoridade,true,5,EXPLICACAO_INCOMPLETA
193,Legislação Específica,Abuso de Autoridade,true,5,EXPLICACAO_INCOMPLETA
194,Legislação Específica,Abuso de Autoridade,true,5,EXPLICACAO_INCOMPLETA
